label,source_folder,video_name,npz_name,total_frames,detected_frames,detection_ratio,status
A,A,A_0001.avi,A_0001.npz,123,123,1.0000,good
A,A,A_0002.avi,A_0002.npz,122,121,0.9918,good
A,A,A_0003.avi,A_0003.npz,121,121,1.0000,good
A,A,A_0004.avi,A_0004.npz,120,120,1.0000,good
A,A,A_0005.avi,A_0005.npz,121,121,1.0000,good
A,A,A_0006.avi,A_0006.npz,122,122,1.0000,good
A,A,A_0007.avi,A_0007.npz,121,121,1.0000,good
A,A,A_0008.avi,A_0008.npz,122,122,1.0000,good
A,A,A_0009.avi,A_0009.npz,121,121,1.0000,good
A,A,A_0010.avi,A_0010.npz,121,121,1.0000,good
A,A,A_0011.avi,A_0011.npz,121,121,1.0000,good
A,A,A_0012.avi,A_0012.npz,121,121,1.0000,good
A,A,A_0013.avi,A_0013.npz,119,119,1.0000,good
A,A,A_0014.avi,A_0014.npz,121,121,1.0000,good
A,A,A_0015.avi,A_0015.npz,122,122,1.0000,good
A,A,A_0016.avi,A_0016.npz,120,120,1.0000,good
A,A,A_0017.avi,A_0017.npz,121,121,1.0000,good
A,A,A_0018.avi,A_0018.npz,121,121,1.0000,good
A,A,A_0019.avi,A_0019.npz,121,121,1.0000,good
A,A,A_0020.avi,A_0020.npz,121,121,1.0000,good
A,A,A_0021.avi,A_0021.npz,121,121,1.0000,good
A,A,A_0022.avi,A_0022.npz,121,121,1.0000,good
A,A,A_0023.avi,A_0023.npz,121,121,1.0000,good
A,A,A_0024.avi,A_0024.npz,121,121,1.0000,good
A,A,A_0025.avi,A_0025.npz,121,121,1.0000,good
A,A,A_0026.avi,A_0026.npz,121,121,1.0000,good
A,A,A_0027.avi,A_0027.npz,121,121,1.0000,good
A,A,A_0028.avi,A_0028.npz,121,121,1.0000,good
A,A,A_0029.avi,A_0029.npz,122,122,1.0000,good
A,A,A_0030.avi,A_0030.npz,121,121,1.0000,good
A,A,A_0031.avi,A_0031.npz,121,121,1.0000,good
A,A,A_0032.avi,A_0032.npz,121,121,1.0000,good
A,A,A_0033.avi,A_0033.npz,121,121,1.0000,good
A,A,A_0034.avi,A_0034.npz,121,121,1.0000,good
A,A,A_0035.avi,A_0035.npz,121,121,1.0000,good
A,A,A_0036.avi,A_0036.npz,121,121,1.0000,good
A,A,A_0037.avi,A_0037.npz,121,121,1.0000,good
A,A,A_0038.avi,A_0038.npz,121,121,1.0000,good
A,A,A_0039.avi,A_0039.npz,121,121,1.0000,good
A,A,A_0040.avi,A_0040.npz,121,121,1.0000,good
A,A,A_0041.avi,A_0041.npz,120,120,1.0000,good
A,A,A_0042.avi,A_0042.npz,122,122,1.0000,good
A,A,A_0043.avi,A_0043.npz,121,121,1.0000,good
A,A,A_0044.avi,A_0044.npz,121,121,1.0000,good
A,A,A_0045.avi,A_0045.npz,121,121,1.0000,good
A,A,A_0046.avi,A_0046.npz,120,120,1.0000,good
A,A,A_0047.avi,A_0047.npz,122,122,1.0000,good
A,A,A_0048.avi,A_0048.npz,121,121,1.0000,good
A,A,A_0049.avi,A_0049.npz,121,121,1.0000,good
A,A,A_0050.avi,A_0050.npz,121,121,1.0000,good
A,A,A_0051.avi,A_0051.npz,122,122,1.0000,good
A,A,A_0052.avi,A_0052.npz,122,122,1.0000,good
A,A,A_0053.avi,A_0053.npz,121,121,1.0000,good
A,A,A_0054.avi,A_0054.npz,122,110,0.9016,good
A,A,A_0055.avi,A_0055.npz,121,121,1.0000,good
A,A,A_0056.avi,A_0056.npz,121,121,1.0000,good
A,A,A_0057.avi,A_0057.npz,121,121,1.0000,good
A,A,A_0058.avi,A_0058.npz,121,121,1.0000,good
A,A,A_0059.avi,A_0059.npz,121,121,1.0000,good
A,A,A_0060.avi,A_0060.npz,121,121,1.0000,good
A,A,A_0061.avi,A_0061.npz,120,120,1.0000,good
A,A,A_0062.avi,A_0062.npz,120,120,1.0000,good
A,A,A_0063.avi,A_0063.npz,122,122,1.0000,good
A,A,A_0064.avi,A_0064.npz,121,121,1.0000,good
A,A,A_0065.avi,A_0065.npz,119,119,1.0000,good
A,A,A_0066.avi,A_0066.npz,121,121,1.0000,good
A,A,A_0067.avi,A_0067.npz,122,122,1.0000,good
A,A,A_0068.avi,A_0068.npz,121,121,1.0000,good
A,A,A_0069.avi,A_0069.npz,122,122,1.0000,good
A,A,A_0070.avi,A_0070.npz,121,121,1.0000,good
A,A,A_0071.avi,A_0071.npz,121,121,1.0000,good
A,A,A_0072.avi,A_0072.npz,121,121,1.0000,good
A,A,A_0073.avi,A_0073.npz,121,121,1.0000,good
A,A,A_0074.avi,A_0074.npz,121,121,1.0000,good
A,A,A_0075.avi,A_0075.npz,120,120,1.0000,good
A,A,A_0076.avi,A_0076.npz,121,121,1.0000,good
A,A,A_0077.avi,A_0077.npz,121,121,1.0000,good
A,A,A_0078.avi,A_0078.npz,121,121,1.0000,good
A,A,A_0079.avi,A_0079.npz,121,114,0.9421,good
A,A,A_0080.avi,A_0080.npz,121,121,1.0000,good
A,A,A_0081.avi,A_0081.npz,123,123,1.0000,good
A,A,A_0082.avi,A_0082.npz,121,121,1.0000,good
A,A,A_0083.avi,A_0083.npz,121,121,1.0000,good
A,A,A_0084.avi,A_0084.npz,121,121,1.0000,good
A,A,A_0085.avi,A_0085.npz,121,121,1.0000,good
A,A,A_0086.avi,A_0086.npz,121,121,1.0000,good
A,A,A_0087.avi,A_0087.npz,121,121,1.0000,good
A,A,A_0088.avi,A_0088.npz,121,121,1.0000,good
A,A,A_0089.avi,A_0089.npz,121,121,1.0000,good
A,A,A_0090.avi,A_0090.npz,121,121,1.0000,good
A,A,A_0091.avi,A_0091.npz,120,120,1.0000,good
A,A,A_0092.avi,A_0092.npz,121,121,1.0000,good
A,A,A_0093.avi,A_0093.npz,121,121,1.0000,good
A,A,A_0094.avi,A_0094.npz,121,121,1.0000,good
A,A,A_0095.avi,A_0095.npz,121,121,1.0000,good
A,A,A_0096.avi,A_0096.npz,121,121,1.0000,good
A,A,A_0097.avi,A_0097.npz,121,121,1.0000,good
A,A,A_0098.avi,A_0098.npz,121,121,1.0000,good
A,A,A_0099.avi,A_0099.npz,120,120,1.0000,good
A,A,A_0100.avi,A_0100.npz,121,121,1.0000,good
A,A,A_0101.avi,A_0101.npz,121,121,1.0000,good
A,A,A_0102.avi,A_0102.npz,121,121,1.0000,good
A,A,A_0103.avi,A_0103.npz,121,121,1.0000,good
A,A,A_0104.avi,A_0104.npz,121,121,1.0000,good
A,A,A_0105.avi,A_0105.npz,121,121,1.0000,good
A,A,A_0106.avi,A_0106.npz,121,121,1.0000,good
A,A,A_0107.avi,A_0107.npz,121,121,1.0000,good
A,A,A_0108.avi,A_0108.npz,122,122,1.0000,good
A,A,A_0109.avi,A_0109.npz,121,121,1.0000,good
A,A,A_0110.avi,A_0110.npz,121,121,1.0000,good
A,A,A_0111.avi,A_0111.npz,121,121,1.0000,good
A,A,A_0112.avi,A_0112.npz,121,121,1.0000,good
A,A,A_0113.avi,A_0113.npz,121,121,1.0000,good
A,A,A_0114.avi,A_0114.npz,121,121,1.0000,good
A,A,A_0115.avi,A_0115.npz,121,121,1.0000,good
A,A,A_0116.avi,A_0116.npz,121,121,1.0000,good
A,A,A_0117.avi,A_0117.npz,121,121,1.0000,good
A,A,A_0118.avi,A_0118.npz,121,121,1.0000,good
A,A,A_0119.avi,A_0119.npz,121,121,1.0000,good
A,A,A_0120.avi,A_0120.npz,121,121,1.0000,good
AA_long,AA_long_new,AA_long_0001.avi,AA_long_0001.npz,56,56,1.0000,good
AA_long,AA_long_new,AA_long_0002.avi,AA_long_0002.npz,43,43,1.0000,good
AA_long,AA_long_new,AA_long_0003.avi,AA_long_0003.npz,66,66,1.0000,good
AA_long,AA_long_new,AA_long_0004.avi,AA_long_0004.npz,58,58,1.0000,good
AA_long,AA_long_new,AA_long_0005.avi,AA_long_0005.npz,54,51,0.9444,good
AA_long,AA_long_new,AA_long_0006.avi,AA_long_0006.npz,46,46,1.0000,good
AA_long,AA_long_new,AA_long_0007.avi,AA_long_0007.npz,57,57,1.0000,good
AA_long,AA_long_new,AA_long_0008.avi,AA_long_0008.npz,61,61,1.0000,good
AA_long,AA_long_new,AA_long_0009.avi,AA_long_0009.npz,56,56,1.0000,good
AA_long,AA_long_new,AA_long_0010.avi,AA_long_0010.npz,69,69,1.0000,good
AA_long,AA_long_new,AA_long_0011.avi,AA_long_0011.npz,59,59,1.0000,good
AA_long,AA_long_new,AA_long_0012.avi,AA_long_0012.npz,55,55,1.0000,good
AA_long,AA_long_new,AA_long_0013.avi,AA_long_0013.npz,58,58,1.0000,good
AA_long,AA_long_new,AA_long_0014.avi,AA_long_0014.npz,45,45,1.0000,good
AA_long,AA_long_new,AA_long_0015.avi,AA_long_0015.npz,43,43,1.0000,good
AA_long,AA_long_new,AA_long_0016.avi,AA_long_0016.npz,54,54,1.0000,good
AA_long,AA_long_new,AA_long_0017.avi,AA_long_0017.npz,67,67,1.0000,good
AA_long,AA_long_new,AA_long_0018.avi,AA_long_0018.npz,53,52,0.9811,good
AA_long,AA_long_new,AA_long_0019.avi,AA_long_0019.npz,45,44,0.9778,good
AA_long,AA_long_new,AA_long_0020.avi,AA_long_0020.npz,52,52,1.0000,good
AA_long,AA_long_new,AA_long_0021.avi,AA_long_0021.npz,51,49,0.9608,good
AA_long,AA_long_new,AA_long_0022.avi,AA_long_0022.npz,43,43,1.0000,good
AA_long,AA_long_new,AA_long_0023.avi,AA_long_0023.npz,43,43,1.0000,good
AA_long,AA_long_new,AA_long_0024.avi,AA_long_0024.npz,45,45,1.0000,good
AA_long,AA_long_new,AA_long_0025.avi,AA_long_0025.npz,36,36,1.0000,good
AA_long,AA_long_new,AA_long_0026.avi,AA_long_0026.npz,55,55,1.0000,good
AA_long,AA_long_new,AA_long_0027.avi,AA_long_0027.npz,44,44,1.0000,good
AA_long,AA_long_new,AA_long_0028.avi,AA_long_0028.npz,33,33,1.0000,good
AA_long,AA_long_new,AA_long_0029.avi,AA_long_0029.npz,42,42,1.0000,good
AA_long,AA_long_new,AA_long_0030.avi,AA_long_0030.npz,45,45,1.0000,good
AA_long,AA_long_new,AA_long_0031.avi,AA_long_0031.npz,43,43,1.0000,good
AA_long,AA_long_new,AA_long_0032.avi,AA_long_0032.npz,46,46,1.0000,good
AA_long,AA_long_new,AA_long_0033.avi,AA_long_0033.npz,43,43,1.0000,good
AA_long,AA_long_new,AA_long_0034.avi,AA_long_0034.npz,47,47,1.0000,good
AA_long,AA_long_new,AA_long_0035.avi,AA_long_0035.npz,46,46,1.0000,good
AA_long,AA_long_new,AA_long_0036.avi,AA_long_0036.npz,43,43,1.0000,good
AA_long,AA_long_new,AA_long_0037.avi,AA_long_0037.npz,50,50,1.0000,good
AA_long,AA_long_new,AA_long_0038.avi,AA_long_0038.npz,45,45,1.0000,good
AA_long,AA_long_new,AA_long_0039.avi,AA_long_0039.npz,47,47,1.0000,good
AA_long,AA_long_new,AA_long_0040.avi,AA_long_0040.npz,46,46,1.0000,good
AA_long,AA_long_new,AA_long_0041.avi,AA_long_0041.npz,70,70,1.0000,good
AA_long,AA_long_new,AA_long_0042.avi,AA_long_0042.npz,59,59,1.0000,good
AA_long,AA_long_new,AA_long_0043.avi,AA_long_0043.npz,53,53,1.0000,good
AA_long,AA_long_new,AA_long_0044.avi,AA_long_0044.npz,69,69,1.0000,good
AA_long,AA_long_new,AA_long_0045.avi,AA_long_0045.npz,43,43,1.0000,good
AA_long,AA_long_new,AA_long_0046.avi,AA_long_0046.npz,47,47,1.0000,good
AA_long,AA_long_new,AA_long_0047.avi,AA_long_0047.npz,48,48,1.0000,good
AA_long,AA_long_new,AA_long_0048.avi,AA_long_0048.npz,47,47,1.0000,good
AA_long,AA_long_new,AA_long_0049.avi,AA_long_0049.npz,42,42,1.0000,good
AA_long,AA_long_new,AA_long_0050.avi,AA_long_0050.npz,41,39,0.9512,good
AA_long,AA_long_new,AA_long_0051.avi,AA_long_0051.npz,46,42,0.9130,good
AA_long,AA_long_new,AA_long_0052.avi,AA_long_0052.npz,43,40,0.9302,good
AA_long,AA_long_new,AA_long_0053.avi,AA_long_0053.npz,47,47,1.0000,good
AA_long,AA_long_new,AA_long_0054.avi,AA_long_0054.npz,49,49,1.0000,good
AA_long,AA_long_new,AA_long_0055.avi,AA_long_0055.npz,51,51,1.0000,good
AA_long,AA_long_new,AA_long_0056.avi,AA_long_0056.npz,38,38,1.0000,good
AA_long,AA_long_new,AA_long_0057.avi,AA_long_0057.npz,49,49,1.0000,good
AA_long,AA_long_new,AA_long_0058.avi,AA_long_0058.npz,48,48,1.0000,good
AA_long,AA_long_new,AA_long_0059.avi,AA_long_0059.npz,47,47,1.0000,good
AA_long,AA_long_new,AA_long_0060.avi,AA_long_0060.npz,44,44,1.0000,good
AA_long,AA_long_new,AA_long_0061.avi,AA_long_0061.npz,41,41,1.0000,good
AA_long,AA_long_new,AA_long_0062.avi,AA_long_0062.npz,40,40,1.0000,good
AA_long,AA_long_new,AA_long_0063.avi,AA_long_0063.npz,45,45,1.0000,good
AA_long,AA_long_new,AA_long_0064.avi,AA_long_0064.npz,44,44,1.0000,good
AA_long,AA_long_new,AA_long_0065.avi,AA_long_0065.npz,46,46,1.0000,good
AA_long,AA_long_new,AA_long_0066.avi,AA_long_0066.npz,41,41,1.0000,good
AA_long,AA_long_new,AA_long_0067.avi,AA_long_0067.npz,56,56,1.0000,good
AA_long,AA_long_new,AA_long_0068.avi,AA_long_0068.npz,49,49,1.0000,good
AA_long,AA_long_new,AA_long_0069.avi,AA_long_0069.npz,49,49,1.0000,good
AA_long,AA_long_new,AA_long_0070.avi,AA_long_0070.npz,45,45,1.0000,good
AA_long,AA_long_new,AA_long_0071.avi,AA_long_0071.npz,34,34,1.0000,good
AA_long,AA_long_new,AA_long_0072.avi,AA_long_0072.npz,35,35,1.0000,good
AA_long,AA_long_new,AA_long_0073.avi,AA_long_0073.npz,40,40,1.0000,good
AA_long,AA_long_new,AA_long_0074.avi,AA_long_0074.npz,50,50,1.0000,good
AA_long,AA_long_new,AA_long_0075.avi,AA_long_0075.npz,46,46,1.0000,good
AA_long,AA_long_new,AA_long_0076.avi,AA_long_0076.npz,43,43,1.0000,good
AA_long,AA_long_new,AA_long_0077.avi,AA_long_0077.npz,43,43,1.0000,good
AA_long,AA_long_new,AA_long_0078.avi,AA_long_0078.npz,30,30,1.0000,good
AA_long,AA_long_new,AA_long_0079.avi,AA_long_0079.npz,44,44,1.0000,good
AA_long,AA_long_new,AA_long_0080.avi,AA_long_0080.npz,41,41,1.0000,good
AA_long,AA_long_new,AA_long_0081.avi,AA_long_0081.npz,66,66,1.0000,good
AA_long,AA_long_new,AA_long_0082.avi,AA_long_0082.npz,63,63,1.0000,good
AA_long,AA_long_new,AA_long_0083.avi,AA_long_0083.npz,40,40,1.0000,good
AA_long,AA_long_new,AA_long_0084.avi,AA_long_0084.npz,55,55,1.0000,good
AA_long,AA_long_new,AA_long_0085.avi,AA_long_0085.npz,57,57,1.0000,good
AA_long,AA_long_new,AA_long_0086.avi,AA_long_0086.npz,68,68,1.0000,good
AA_long,AA_long_new,AA_long_0087.avi,AA_long_0087.npz,61,61,1.0000,good
AA_long,AA_long_new,AA_long_0088.avi,AA_long_0088.npz,78,78,1.0000,good
AA_long,AA_long_new,AA_long_0089.avi,AA_long_0089.npz,76,76,1.0000,good
AA_long,AA_long_new,AA_long_0090.avi,AA_long_0090.npz,57,57,1.0000,good
AA_long,AA_long_new,AA_long_0091.avi,AA_long_0091.npz,46,46,1.0000,good
AA_long,AA_long_new,AA_long_0092.avi,AA_long_0092.npz,54,54,1.0000,good
AA_long,AA_long_new,AA_long_0093.avi,AA_long_0093.npz,59,59,1.0000,good
AA_long,AA_long_new,AA_long_0094.avi,AA_long_0094.npz,53,53,1.0000,good
AA_long,AA_long_new,AA_long_0095.avi,AA_long_0095.npz,59,59,1.0000,good
AA_long,AA_long_new,AA_long_0096.avi,AA_long_0096.npz,62,62,1.0000,good
AA_long,AA_long_new,AA_long_0097.avi,AA_long_0097.npz,53,53,1.0000,good
AA_long,AA_long_new,AA_long_0098.avi,AA_long_0098.npz,53,53,1.0000,good
AA_long,AA_long_new,AA_long_0099.avi,AA_long_0099.npz,44,44,1.0000,good
AA_long,AA_long_new,AA_long_0100.avi,AA_long_0100.npz,56,56,1.0000,good
AA_long,AA_long_new,AA_long_0101.avi,AA_long_0101.npz,49,49,1.0000,good
AA_long,AA_long_new,AA_long_0102.avi,AA_long_0102.npz,48,48,1.0000,good
AA_long,AA_long_new,AA_long_0103.avi,AA_long_0103.npz,62,62,1.0000,good
